storeName,date,modelName,number,game,difference,BB,RB,allprobability,BBprobability,RBprobability
アロー池上,2024-07-15,スマスロキングパルサー,607,3685,-1119,13,7,184.2,283.5,526.4
アロー池上,2024-07-15,マジカルハロウィン8,608,6282,2831,47,0,133.7,133.7,0.0
アロー池上,2024-07-15,とある魔術の禁書目録,609,6367,-510,0,21,303.2,0.0,303.2
アロー池上,2024-07-15,吉宗RISING,610,4295,1358,0,2,2147.5,0.0,2147.5
アロー池上,2024-07-15,HEY！エリートサラリーマン鏡,611,5353,722,0,9,594.8,0.0,594.8
アロー池上,2024-07-15,麻雀格闘倶楽部 覚醒,612,4559,-1659,0,12,379.9,0.0,379.9
アロー池上,2024-07-15,仮面ライダー 7RIDERS,613,4924,1103,0,15,328.3,0.0,328.3
アロー池上,2024-07-15,モンスターハンターワールド:アイスボーン,668,5174,-1344,0,0,0.0,0.0,0.0
アロー池上,2024-07-15,ダンジョンに出会いを求めるのは間違っているだろうか2,669,6994,33,33,0,211.9,211.9,0.0
アロー池上,2024-07-15,炎炎ノ消防隊,670,4985,-828,0,8,623.1,0.0,623.1
アロー池上,2024-07-15,この素晴らしい世界に祝福を！,671,5567,-1450,0,17,327.5,0.0,327.5
アロー池上,2024-07-15,バイオハザード RE:2,672,4282,-682,29,0,147.7,147.7,0.0
アロー池上,2024-07-15,ガメラ2,673,3248,-1715,6,3,360.9,541.3,1082.7
アロー池上,2024-07-15,ディスクアップ2,676,5519,629,21,9,184.0,262.8,613.2
アロー池上,2024-07-15,バーサスリヴァイズ,677,5528,-1649,15,10,221.1,368.5,552.8
アロー池上,2024-07-15,ジャグラーガールズ,680,6445,-1940,13,23,179.0,495.8,280.2
